Attrition,Hiring Year,Business Travel,Department,Education Field,emp no,Gender,Job Role,Marital Status,Over Time,Age,Education,Job Involvement,Job Level,Job Satisfaction,Num Companies Worked,Performance Rating,Relationship Satisfaction,Total Working Years,Work Life Balance
Yes,2022,Travel_Rarely,Sales,Life Sciences,STAFF-1,Female,Sales Executive,Single,Yes,41,Associates Degree,3,2,4,8,3,1,8,1
No,2021,Travel_Frequently,R&D,Life Sciences,STAFF-2,Male,Research Scientist,Married,No,49,High School,2,2,2,1,4,4,10,3
Yes,2021,Travel_Rarely,R&D,Other,STAFF-3,Male,Laboratory Technician,Single,Yes,37,Associates Degree,2,1,3,6,3,2,7,3
Yes,2022,Travel_Frequently,R&D,Life Sciences,STAFF-4,Female,Research Scientist,Married,Yes,33,Master's Degree,3,1,3,1,3,3,8,3
Yes,2020,Travel_Rarely,R&D,Medical,STAFF-5,Male,Laboratory Technician,Married,No,27,High School,3,1,2,9,3,4,6,3
Yes,2022,Travel_Frequently,R&D,Life Sciences,STAFF-6,Male,Laboratory Technician,Single,No,32,Associates Degree,3,1,4,0,3,3,8,2
Yes,2020,Travel_Rarely,R&D,Medical,STAFF-7,Female,Laboratory Technician,Married,Yes,59,Bachelor's Degree,4,1,1,4,4,1,12,2
Yes,2020,Travel_Rarely,R&D,Life Sciences,STAFF-8,Male,Laboratory Technician,Divorced,No,30,High School,3,1,3,1,4,2,1,3
Yes,2023,Travel_Frequently,R&D,Life Sciences,STAFF-9,Male,Manufacturing Director,Single,No,38,Bachelor's Degree,2,3,3,0,4,2,10,3
Yes,2023,Travel_Rarely,R&D,Medical,STAFF-10,Male,Healthcare Representative,Married,No,36,Bachelor's Degree,3,2,3,6,3,2,17,2
Yes,2021,Travel_Rarely,R&D,Medical,STAFF-11,Male,Laboratory Technician,Married,No,35,Bachelor's Degree,4,1,2,0,3,3,6,3
Yes,2020,Travel_Rarely,R&D,Life Sciences,STAFF-12,Female,Laboratory Technician,Single,Yes,29,Associates Degree,2,2,3,0,3,4,10,3
Yes,2021,Travel_Rarely,R&D,Life Sciences,STAFF-13,Male,Research Scientist,Divorced,No,31,High School,3,1,3,1,3,4,5,2
Yes,2021,Travel_Rarely,R&D,Medical,STAFF-14,Male,Laboratory Technician,Divorced,No,34,Associates Degree,3,1,4,0,3,3,3,3
Yes,2022,Travel_Rarely,R&D,Life Sciences,STAFF-15,Male,Laboratory Technician,Single,Yes,28,Bachelor's Degree,2,1,3,5,3,2,6,3
Yes,2020,Travel_Rarely,R&D,Life Sciences,STAFF-16,Female,Manufacturing Director,Divorced,No,29,Master's Degree,4,3,1,1,3,3,10,3
Yes,2020,Travel_Rarely,R&D,Life Sciences,STAFF-17,Male,Research Scientist,Divorced,Yes,32,Associates Degree,4,1,2,0,3,4,7,2
Yes,2021,Non-Travel,R&D,Medical,STAFF-18,Male,Laboratory Technician,Divorced,Yes,22,Associates Degree,4,1,4,1,3,2,1,2
Yes,2022,Travel_Rarely,Sales,Life Sciences,STAFF-19,Female,Manager,Married,No,53,Master's Degree,2,4,4,2,3,3,31,3
Yes,2020,Travel_Rarely,R&D,Life Sciences,STAFF-20,Male,Research Scientist,Single,Yes,38,Bachelor's Degree,3,1,4,5,3,3,6,3
Yes,2022,Non-Travel,R&D,Other,STAFF-21,Female,Manufacturing Director,Divorced,No,24,Associates Degree,4,2,3,0,3,4,5,2
Yes,2021,Travel_Rarely,Sales,Life Sciences,STAFF-22,Male,Sales Representative,Single,No,36,Master's Degree,2,1,1,7,4,2,10,3
Yes,2021,Travel_Rarely,R&D,Life Sciences,STAFF-23,Female,Research Director,Single,No,34,Master's Degree,3,3,2,0,3,3,13,3
Yes,2021,Travel_Rarely,R&D,Life Sciences,STAFF-24,Male,Research Scientist,Single,No,21,Associates Degree,3,1,4,1,3,4,0,3
Yes,2023,Travel_Rarely,R&D,Medical,STAFF-25,Male,Research Scientist,Single,No,34,High School,3,1,1,2,3,3,8,3
No,2023,Travel_Rarely,R&D,Other,STAFF-26,Female,Manager,Divorced,No,53,Bachelor's Degree,3,5,3,4,3,4,26,2
Yes,2020,Travel_Frequently,R&D,Life Sciences,STAFF-27,Female,Research Scientist,Single,Yes,32,High School,1,1,1,1,4,2,10,3
No,2020,Travel_Rarely,Sales,Marketing,STAFF-28,Male,Sales Executive,Married,No,42,Master's Degree,3,2,2,0,3,4,10,3
No,2021,Travel_Rarely,R&D,Medical,STAFF-29,Female,Healthcare Representative,Married,No,44,Master's Degree,2,3,4,3,3,4,24,3
No,2020,Travel_Rarely,Sales,Marketing,STAFF-30,Female,Manager,Single,No,46,Master's Degree,3,5,1,3,3,4,22,2
No,2022,Travel_Rarely,R&D,Medical,STAFF-31,Male,Laboratory Technician,Single,No,33,Bachelor's Degree,3,1,4,4,3,4,7,3
No,2020,Travel_Rarely,R&D,Other,STAFF-32,Male,Healthcare Representative,Married,Yes,44,Master's Degree,3,2,4,2,3,4,9,4
No,2020,Travel_Rarely,R&D,Medical,STAFF-33,Male,Laboratory Technician,Single,No,30,Associates Degree,2,1,3,1,3,1,10,3
Yes,2023,Travel_Rarely,Sales,Technical Degree,STAFF-34,Male,Sales Representative,Married,No,39,Bachelor's Degree,3,2,4,3,3,3,19,4
Yes,2023,Travel_Rarely,R&D,Medical,STAFF-35,Male,Research Scientist,Married,Yes,24,Bachelor's Degree,3,1,4,2,3,1,6,2
No,2023,Travel_Rarely,R&D,Medical,STAFF-36,Female,Research Scientist,Divorced,No,43,Associates Degree,4,1,3,1,3,4,6,2
